"path","index","name","family","style","weight","width","italic","monospace"
"C:\WINDOWS\Fonts\SERIFF.FON",5,"","MS Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SSERIFE.FON",0,"","MS Sans Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SSERIFE.FON",1,"","MS Sans Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SSERIFE.FON",2,"","MS Sans Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SSERIFE.FON",3,"","MS Sans Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SSERIFE.FON",4,"","MS Sans Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SSERIFE.FON",5,"","MS Sans Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SSERIFF.FON",0,"","MS Sans Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SSERIFF.FON",1,"","MS Sans Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SSERIFF.FON",2,"","MS Sans Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SSERIFF.FON",3,"","MS Sans Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SSERIFF.FON",4,"","MS Sans Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SSERIFF.FON",5,"","MS Sans Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SMALLE.FON",0,"","Small Fonts","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SMALLE.FON",1,"","Small Fonts","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SMALLE.FON",2,"","Small Fonts","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SMALLE.FON",3,"","Small Fonts","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SMALLE.FON",4,"","Small Fonts","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SMALLE.FON",5,"","Small Fonts","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SMALLE.FON",6,"","MS Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SMALLE.FON",7,"","MS Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SMALLF.FON",0,"","Small Fonts","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SMALLF.FON",1,"","Small Fonts","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SMALLF.FON",2,"","Small Fonts","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SMALLF.FON",3,"","Small Fonts","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SMALLF.FON",4,"","Small Fonts","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SMALLF.FON",5,"","Small Fonts","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\batang.ttc",0,"Batang","Batang","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\batang.ttc",1,"BatangChe","BatangChe","Regular","normal","normal",FALSE,TRUE
"C:\WINDOWS\Fonts\batang.ttc",2,"Gungsuh","Gungsuh","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\batang.ttc",3,"GungsuhChe","GungsuhChe","Regular","normal","normal",FALSE,TRUE
"C:\WINDOWS\Fonts\gulim.ttc",0,"Gulim","Gulim","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\gulim.ttc",1,"GulimChe","GulimChe","Regular","normal","normal",FALSE,TRUE
"C:\WINDOWS\Fonts\gulim.ttc",2,"Dotum","Dotum","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\gulim.ttc",3,"DotumChe","DotumChe","Regular","normal","normal",FALSE,TRUE
"C:\WINDOWS\Fonts\holomdl2.ttf",0,"HoloLensMDL2Assets","HoloLens MDL2 Assets","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\ANTQUAB.TTF",0,"BookAntiqua-Bold","Book Antiqua","Bold","bold","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\ANTQUABI.TTF",0,"BookAntiqua-BoldItalic","Book Antiqua","Bold Italic","bold","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\ANTQUAI.TTF",0,"BookAntiqua-Italic","Book Antiqua","Italic","normal","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\ARIALN.TTF",0,"ArialNarrow","Arial","Narrow","normal","condensed",FALSE,FALSE
"C:\WINDOWS\Fonts\ARIALNB.TTF",0,"ArialNarrow-Bold","Arial","Narrow Bold","bold","condensed",FALSE,FALSE
"C:\WINDOWS\Fonts\ARIALNBI.TTF",0,"ArialNarrow-BoldItalic","Arial","Narrow Bold Italic","bold","condensed",TRUE,FALSE
"C:\WINDOWS\Fonts\ARIALNI.TTF",0,"ArialNarrow-Italic","Arial","Narrow Italic","normal","condensed",TRUE,FALSE
"C:\WINDOWS\Fonts\BKANT.TTF",0,"BookAntiqua","Book Antiqua","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\BOOKOS.TTF",0,"BookmanOldStyle","Bookman Old Style","Regular","light","normal",FALSE,FALSE
